abstract_en	authors	id	journal	journal_en	keywords_en	response_url	title	title_en
"The theory of yun-qi in traditional Chinese medicine (TCM), also known as five evolutive phases and six climatic factors, involves a lot about prevention and treatment of epidemic diseases as discussed in Wen Yi Lun and Wen Bing Tiao Bian. This paper attempts to analyze the background of the pathogenesis of COVID-19, China from the perspective of five evolutive phases and six climatic factors, and then puts forward the diagnosis and treatment ideas. First of all, from the perspective of “wenli”, the sixth time period of 2019 (December 7, 2019 to February 4, 2020) was prone to the outbreak of serious infectious diseases (wenli), and the first attack was likely to be in the central region of China (zai wugong). Secondly, from the perspective of “recovery of qi”, in 2019, the spleen-earth qi was insufficient, so the surpassing qi was liver-wood qi, and the payback qi was lung-metal qi. This reminds us the dryness pathogenic factor of the six climatic conditions should be paid attention to in clinical diagnosis and treatment of epidemic diseases. Thirdly, from the perspective of “the suitable medicine and food”, the payback qi in 2019 (ji-hai year) is lung-metal qi and the lung-metal qi in 2020 (geng-zi year) is too much, so it is advisable to use herbs of bitter-warm, pungent-warm and sour-warm property. In addition, the confirmatory analysis has been done based on the current information about COVID-19, the Diagnosis and Treatment Plan for Corona Virus Disease 2019 (Trial Version 5) published by National Health Commission of the People’s Republic of China which includes the symptoms, TCM syndrome types and the TCM prescriptions in each stage of the treatment, as well as the similar researches on the SARS in 2003 (gui-wei year). This article aims at providing some thoughts on the prevention and treatment of corona virus disease 2019 (COVID-19) by means of traditional Chinese medicine."	金锐	623	医学争鸣	Negative	five evolutive phases and six climatic factors; yun-qi theory; COVID-19; wenli; traditional Chinese medicine;	http://new.oversea.cnki.net/kcms/detail/61.1481.R.20200219.0930.002.html	从五运六气角度探讨新型冠状病毒肺炎的发病、诊断及治疗	"Discussion on pathogenesis, diagnosis and treatment of COVID-19 from the perspective of five evolutive phases and six climatic factors"
N/A	孙增涛;安兴;肖玮;张传涛;张宏;曾珠;周杰	306	陕西中医药大学学报	Journal of Shaanxi University of Chinese Medicine	N/A	http://new.oversea.cnki.net/kcms/detail/61.1501.R.20200211.1318.002.html	基于分期辨证论治探讨新型冠状病毒感染肺炎	N/A
"Author’s previous “activity theory of meridian therapy” predicated that therapeutic effects of meridian therapy could be related to the restoration of inhibited acetylcholinesterase (AChE) activity by either acupuncture or action of AChE activators. The application of AChE activators instead of acupuncture can have acupuncture-like or even better therapeutic effects, including anti-infection effects. The author named it “activator therapy” and designed several forms of the drug for different occasions. It is suggested for the authority to adopt various suitable preparations designed by him after test in this current anti-COVID-19 battle."	林真	624	医学争鸣	Negative	N/A	http://new.oversea.cnki.net/kcms/detail/61.1481.R.20200218.2300.002.html	胆碱酯酶激动剂用于新型冠状病毒肺炎辅助治疗的尝试	An attempt to use cholinesteraseactivators forassistant treatment of COVID-19
"Cancer patients always have poor immunity system,who susceptible to the 2019 novel coronavirus( 2019-n Cov),are special patients need particular attention in the time of epidemic. This article will briefly introduce the methods of personal protective,medical diagnosis and treatment,following-up properly,avoiding risks and so on,hoping to provide assistance to the clinical."	易丹;杜梦楠;贾英杰	501	现代肿瘤医学	Journal of Modern Oncology	N/A	http://new.oversea.cnki.net/kcms/detail/61.1415.R.20200214.1918.004.html	肿瘤患者在新型冠状病毒疫情期间如何规避风险	How to avoid risks in the epidemic time of 2019 novel coronavirus for cancer patients
"Novel coronavirus pneumonia(NCP) is highly infectious and seriously harmful to human health. According to the clinical characteristics of NCP, it can be classified into mild, moderate, severe and critical ones. The treatment for critical cases is an important factor of reducing the mortality rate of the disease and is always dependent on the intensive care unit(ICU). The ICU therapy strategies involve not only curing the critical cases, but also avoiding cross infection in the same ward. Therefore, we have formulated detailed response management strategies, including the establishment of core groups, standardization of diagnosis and treatment process, strengthening personnel management, multimodal training assessment, and overall allocation of protection materials. We hope the strategies can provide reference for relevant ICUs."	申存毅;谭文君;李希;张靖垚;刘青光;刘昌;仵正;王铮	987	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	intensive care unit; 2019-nCov; management;	http://new.oversea.cnki.net/kcms/detail/61.1399.r.20200224.0944.014.html	重症监护病房应对新型冠状病毒感染的管理对策	Management of novel coronavirus infection in ICU
"Objective To construct an information system for preview and triage during novel coronavirus pneumonia(NCP) epidemic time in stomatological hospitals and put it to clinical use. Methods To sort out and formulate the preview and triage process of stomatological hospitals during the epidemic, we constructed B/S development platform with Jeesite open source framework, sort outed and developed relevant input and query functions. ActiveX widget was used to connect the hardware part with the ID card reader through the browser. At the initial stage of the system put online, the parallel mode of manual registration and system registration was used to verify the actual effect of the system. Results After the system went online, the triage data of 35 patients were analyzed. The average triage time was shortened from(90.82±31.85) seconds to(38.97±12.14) seconds, with an efficiency increase of about 125%. Conclusion The system’s performance can meet the actual business requirements, reduce the risk of cross infection, improve the preview and triage efficiency, and improve patients’ medical experience. Meanwhile it ensures the accuracy and safety of the information record of people seeking medical service."	李艺凡;孙辉;胡志萍;王菲;安妮;虎斌;代泉	994	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.R.20200224.0944.012.html	口腔专科医院新型冠状病毒肺炎流行期预检分诊信息系统的构建与应用	Construction and application of the information system for preview and triage during novel coronavirus pneumonia epidemic time in stomatological hospitals
"An unexplained pneumonia outbreak in Wuhan at the end of 2019 was found to be associated with a novel coronavirus(SARS-CoV-2). The virus is the seventh known coronavirus that can infect humans. In a short period of time, this coronavirus infection has spread to many regions of the world, causing the concern of countries around the world. At present, related research on SARS-CoV-2 is still in its infancy. This article summarizes the findings of the latest research related to SARS-CoV-2 to provide reference for subsequent research and prevention."	苏石;李小承;蒿花;王晓艳;张明明;耿辉;马茂	1012	西安交通大学学报(医学版)	Journal of Xi’an Jiaotong University(Medical Sciences)	N/A	http://new.oversea.cnki.net/kcms/detail/61.1399.R.20200224.0944.010.html	新型冠状病毒(SARS-CoV-2)的研究进展	Advances in research on SARS-CoV-2
N/A	罗丹;张海明;于兆民;陈瑞	447	陕西中医药大学学报	Journal of Shaanxi University of Chinese Medicine	N/A	http://new.oversea.cnki.net/kcms/detail/61.1501.R.20200214.1311.004.html	中医“治未病”理论指导新型冠状病毒肺炎防治的思考	N/A
"At the moment of the pandemic,in order to further improve the understanding of tumor patients on the new type of coronavirus pneumonia,and to manage and prevent their own diseases during the national level response,this article focuses on effectively guiding individuals to strictly use drugs,follow up reasonably,and scientifically.Prevent epidemic,reduce transmission risk,pay close attention to cancer patients."	杨振宇;谭凯;杜锡林;包国强;何显力	191	现代肿瘤医学	Journal of Modern Oncology	N/A	http://new.oversea.cnki.net/kcms/detail/61.1415.R.20200206.1657.002.html	新型冠状病毒疫情期间肿瘤患者的应急管理及防护措施	Emergency management and protection measures for tumor patients during new coronavirus epidemic
"Since the end of 2019, the novel coronavirus pneumonia (COVID-19) has rapidly spread in Wuhan City, Hubei Province of China. This has aroused great concern of the Chinese government and the international community. There have been unconfirmed threads of COVID-19 patients with conjunctivitis as the first symptom. Therefore, the issue that whether and how the novel coronavirus strain 2019-nCoV infection is transmitted through the ocular surface has become a new concern. In the absence of clinical and experimental evidence of 2019-nCoV in ocular infection, we have conducted a retrospective literature analysis of viral pathogens that simultaneously trigger ocular lesions during the onset of epidemic diseases. The purpose of this paper is to provide some reference and suggestions for appropriately understanding of ocular protection in the prevention and control of the COVID-19."	张铭志	1052	国际眼科杂志	International Eye Science	N/A	http://new.oversea.cnki.net/kcms/detail/61.1419.R.20200223.1432.002.html	关注新型冠状病毒感染的肺炎 (COVID-19）与眼表传播问题	New coronavirus pneumonia and ocular surface transmission
The epidemic of the 2019 novel coronavirus （2019-nCoV） infection has presented as a critical period. Until February 14	陈博;张宪;孙旭芳	473	国际眼科杂志	International Eye Science	N/A	http://new.oversea.cnki.net/kcms/detail/61.1419.R.20200217.2009.002.html	2019新型冠状病毒防控中眼科医务人员的预防措施	Precaution of 2019 novel coronavirus infection in ophthalmology medical staff
